"","DATE","SUB_ICB_CODE","LA_CODE","PATIENT_TYPE","POP"
"537",2018-09-30,NA,"E08000019","Adult",461086
"538",2018-09-30,NA,"E08000019","Child",116703
"539",2018-09-30,NA,"E08000021","Adult",238298
"540",2018-09-30,NA,"E08000021","Child",57544
"541",2018-09-30,NA,"E08000022","Adult",163596
"542",2018-09-30,NA,"E08000022","Child",40877
"543",2018-09-30,NA,"E08000023","Adult",119946
"544",2018-09-30,NA,"E08000023","Child",29609
"545",2018-09-30,NA,"E08000024","Adult",222805
"546",2018-09-30,NA,"E08000024","Child",54444
"547",2018-09-30,NA,"E08000025","Adult",849041
"548",2018-09-30,NA,"E08000025","Child",288082
"549",2018-09-30,NA,"E08000026","Adult",282565
"550",2018-09-30,NA,"E08000026","Child",77584
"551",2018-09-30,NA,"E08000027","Adult",250608
